☆央卫☆,#genre#
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8
龙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225657/index.m3u8
河北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225732/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225731/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8
云南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225664/index.m3u8
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225722/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
中国教育-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225661/index.m3u8
金鹰卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221225721/index.m3u8
卡酷少儿,http://39.134.115.163:8080/PLTV/88888910/224/3221225677/index.m3u8
优漫卡通,http://39.134.115.163:8080/PLTV/88888910/224/3221225665/index.m3u8
哈哈炫动,http://39.134.115.163:8080/PLTV/88888910/224/3221225720/index.m3u8
风尚购物,http://39.134.115.163:8080/PLTV/88888910/224/3221225716/index.m3u8
忠县文旅频道,http://qxlmlive.cbg.cn:1935/app_2/_definst_/ls_36.stream/playlist.m3u8
忠县综合频道,http://qxlmlive.cbg.cn:1935/app_2/_definst_/ls_35.stream/playlist.m3u8
重庆移动公交,http://qxlmlive.cbg.cn:1935/app_2/ls_57.stream/chunklist.m3u8
重庆移动机场,http://qxlmlive.cbg.cn:1935/app_2/ls_56.stream/chunklist.m3u8
☆龙江☆,#genre#
CCTV1 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225710/index.m3u8
CCTV2 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225747/index.m3u8
CCTV3 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225606/index.m3u8
CCTV5 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225674/index.m3u8
CCTV5 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225711/index.m3u8
CCTV5+ 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225689/index.m3u8
CCTV6 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225607/index.m3u8
CCTV7 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8
CCTV8 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225608/index.m3u8
CCTV9 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8
CCTV10 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225730/index.m3u8
CCTV12 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225731/index.m3u8
CCTV14 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8
CCTV17 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8
东方卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225735/index.m3u8
北京卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225728/index.m3u8
天津卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225740/index.m3u8
安徽卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225727/index.m3u8
山东卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225737/index.m3u8
广东卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225736/index.m3u8
江苏卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225613/index.m3u8
江西卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225615/index.m3u8
浙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225612/index.m3u8
深圳卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225739/index.m3u8
湖北卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225627/index.m3u8
湖北卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225705/index.m3u8
湖南卫视 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225610/index.m3u8
北京冬奥纪实 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225729/index.m3u8
上海纪实人文 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225738/index.m3u8
NewTV吉林 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225794/index.m3u8
NewTV四川 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225793/index.m3u8
NewTV安徽 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225790/index.m3u8
NewTV山东 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225788/index.m3u8
NewTV广东 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225791/index.m3u8
NewTV江西 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225789/index.m3u8
NewTV云南 4M720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225795/index.m3u8
NewTV广西 4M720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225792/index.m3u8
NewTV东北热剧 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225498/index.m3u8
NewTV东北热剧 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225741/index.m3u8
NewTV中国功夫 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225681/index.m3u8
NewTV农业致富 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225683/index.m3u8
NewTV惊悚悬疑 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225665/index.m3u8
NewTV搏击 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225680/index.m3u8
NewTV欢乐剧场 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225742/index.m3u8
NewTV潮妈辣婆 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225685/index.m3u8
NewTV炫舞未来 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225719/index.m3u8
NewTV爱情喜剧 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225669/index.m3u8
NewTV精品纪录 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225672/index.m3u8
NewTV超级体育 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225715/index.m3u8
NewTV超级电影 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225717/index.m3u8
NewTV超级电视剧 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225716/index.m3u8
NewTV超级综艺 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225714/index.m3u8
NewTV金牌综艺 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225666/index.m3u8
NewTV明星大片 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225664/index.m3u8
NewTV海外剧场 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225671/index.m3u8
NewTV动作电影 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225661/index.m3u8
NewTV家庭剧场 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225677/index.m3u8
NewTV精品大剧 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225670/index.m3u8
NewTV军事评论 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225668/index.m3u8
NewTV军旅剧场 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225676/index.m3u8
NewTV古装剧场 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225663/index.m3u8
NewTV怡伴健康 2.5M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225673/index.m3u8
黑莓动画 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225662/index.m3u8
黑莓动画 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225744/index.m3u8
黑莓电影 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225667/index.m3u8
黑莓电影 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225743/index.m3u8
黑莓电竞 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225675/index.m3u8
黑莓电竞 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225712/index.m3u8
黑莓电竞 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225713/index.m3u8
哈尔滨新闻综合 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225745/index.m3u8
大庆教育 1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225784/index.m3u8
大庆新闻综合 1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225768/index.m3u8
央广购物 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225709/index.m3u8
江苏好享购物 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225757/index.m3u8
江西风尚购物 4M1080,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225679/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225587/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225755/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225764/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225766/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225767/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225769/index.m3u8
CCTV2 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8
CCTV2 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225746/index.m3u8
CCTV3 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225754/index.m3u8
CCTV3 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225785/index.m3u8
CCTV4 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225590/index.m3u8
CCTV5 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225591/index.m3u8
CCTV5 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225753/index.m3u8
CCTV5+ 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8
CCTV5+ 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225752/index.m3u8
CCTV6 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225751/index.m3u8
CCTV6 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225786/index.m3u8
CCTV7 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225593/index.m3u8
CCTV8 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225750/index.m3u8
CCTV8 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225787/index.m3u8
CCTV9 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225595/index.m3u8
CCTV10 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225596/index.m3u8
CCTV11 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225597/index.m3u8
CCTV12 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225598/index.m3u8
CCTV13 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225599/index.m3u8
CCTV14 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225600/index.m3u8
CCTV14 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225678/index.m3u8
CCTV15 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225601/index.m3u8
CGTN 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225604/index.m3u8
CGTN纪录 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225602/index.m3u8
中国教育1 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225652/index.m3u8
中国教育4 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225783/index.m3u8
东南卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225620/index.m3u8
东方卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225647/index.m3u8
东方卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225700/index.m3u8
云南卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225636/index.m3u8
北京卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225651/index.m3u8
北京卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225701/index.m3u8
北京卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225749/index.m3u8
吉林卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225637/index.m3u8
四川卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225621/index.m3u8
天津卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225648/index.m3u8
宁夏卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225632/index.m3u8
安徽卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225631/index.m3u8
山东卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225650/index.m3u8
山西卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225624/index.m3u8
广东卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225641/index.m3u8
广东卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225699/index.m3u8
广西卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225622/index.m3u8
新疆卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225635/index.m3u8
江苏卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225644/index.m3u8
河北卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225623/index.m3u8
浙江卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225643/index.m3u8
海南卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225639/index.m3u8
深圳卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225645/index.m3u8
甘肃卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225633/index.m3u8
西藏卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225638/index.m3u8
贵州卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225626/index.m3u8
辽宁卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225619/index.m3u8
重庆卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225618/index.m3u8
陕西卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225625/index.m3u8
青海卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225628/index.m3u8
黑龙江卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225640/index.m3u8
黑龙江卫视 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225658/index.m3u8
内蒙古卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225634/index.m3u8
四川康巴卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225660/index.m3u8
山东教育卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225655/index.m3u8
青海安多卫视 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225659/index.m3u8
哈尔滨娱乐 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225759/index.m3u8
哈尔滨影视 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225760/index.m3u8
哈尔滨生活 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225762/index.m3u8
哈尔滨资讯 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225761/index.m3u8
上海纪实人文 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225748/index.m3u8
北京冬奥纪实 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225756/index.m3u8
上海哈哈炫动 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225657/index.m3u8
北京卡酷少儿 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225654/index.m3u8
湖南金鹰卡通 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225653/index.m3u8
江苏优漫卡通 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225656/index.m3u8
北京家有购物 720,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225682/index.m3u8
聚鲨环球精选 4M576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225708/index.m3u8
未知 576,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225758/index.m3u8
☆广西☆,#genre#
纯享4K 15M2160,http://39.135.33.12/PLTV/77777777/224/3221226802/index.m3u8
咪咕4K 30M2160HDR,http://39.135.33.12/PLTV/88888888/224/3221226716/index.m3u8
放不了?,http://39.135.33.12/PLTV/88888888/224/3221226712/index.m3u8
放不了?,http://39.135.33.12/PLTV/77777777/224/3221226852/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226546/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226808/index.m3u8
CCTV1 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226674/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226764/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226766/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226768/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226770/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226772/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226774/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226776/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226778/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226780/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226782/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226784/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226786/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226788/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226789/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226790/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226791/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226792/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226793/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226794/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226795/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226796/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226797/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226798/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226799/index.m3u8
CCTV1 4M1080,http://39.135.33.12/PLTV/88888888/224/3221226801/index.m3u8
CCTV2 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226599/index.m3u8
CCTV2 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226642/index.m3u8
CCTV3 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226548/index.m3u8
CCTV3 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226717/index.m3u8
CCTV4 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226584/index.m3u8
CCTV4 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226817/index.m3u8
CCTV5 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226550/index.m3u8
CCTV5 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226719/index.m3u8
CCTV5+ 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226597/index.m3u8
CCTV5+ 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226672/index.m3u8
CCTV6 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226601/index.m3u8
CCTV6 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226644/index.m3u8
CCTV6 7M1080,http://39.135.33.12/PLTV/88888888/224/3221226810/index.m3u8
CCTV7 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226536/index.m3u8
CCTV7 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226646/index.m3u8
CCTV8 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226603/index.m3u8
CCTV8 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226721/index.m3u8
CCTV9 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226552/index.m3u8
CCTV9 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226648/index.m3u8
CCTV10 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226589/index.m3u8
CCTV10 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226640/index.m3u8
CCTV11 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226639/index.m3u8
CCTV11 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226816/index.m3u8
CCTV12 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226534/index.m3u8
CCTV12 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226713/index.m3u8
CCTV13 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226580/index.m3u8
CCTV13 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226819/index.m3u8
CCTV14 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226591/index.m3u8
CCTV14 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226715/index.m3u8
CCTV15 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226582/index.m3u8
CCTV15 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226818/index.m3u8
CCTV17 4M1080,http://39.135.33.12/PLTV/77777777/224/3221226610/index.m3u8
CCTV17 8M1080,http://39.135.33.12/PLTV/77777777/224/3221226815/index.m3u8
